INDEX,YEAR,MN,DT,MAX,MIN,AW,RF,EVP,DRNRF(hrs),DRNRF(mnts),SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,
43353,1990,JAN,11,32.5,22.7,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,90,1,270,  , , ,   , , ,   ,  
43353,1990,JAN,12,32,23,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,175,1,385,  , , ,   , , ,   ,  
43353,1990,JAN,13,31.7,20.8,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,350, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,14,31,17,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,320, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,15,31.6,19.4,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,220, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,16,31.7,18.9,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,200,1,285,  , , ,   , , ,   ,  
43353,1990,JAN,17,30.5,20,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,435, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,18,30.5,21.2,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,380, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,19,30.8,21,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,205, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,20,32.4,20.3,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,310, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,21,30.9,21,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,470, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,22,30.4,22.6,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,35,1,280,  , , ,   , , ,   ,  
43353,1990,JAN,23,30.4,22.4,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,90,1,150,  , , ,   , , ,   ,  
43353,1990,JAN,24,32.6,22.5,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,75,1,355,  , , ,   , , ,   ,  
43353,1990,JAN,25,31,21.7,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,400, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,26,31,22.5,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,235,1,35,  , , ,   , , ,   ,  
43353,1990,JAN,27,31,22.5,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,105,1,350,  , , ,   , , ,   ,  
43353,1990,JAN,28,31.3,21.5,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,45,1,245,  , , ,   , , ,   ,  
43353,1990,JAN,29,31.8,22.2,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,100,1,280,  , , ,   , , ,   ,  
43353,1990,JAN,30,32.5,21.8,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,295, ,   ,  , , ,   , , ,   ,  
43353,1990,JAN,31,31.8,22.2,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,240, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,1,32.2,23.5,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,127,1,178,  , , ,   , , ,   ,  
43353,1990,FEB,2,32.7,22.6,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,100,1,260,  , , ,   , , ,   ,  
43353,1990,FEB,3,31.6,21.8,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,175,1,350,  , , ,   , , ,   ,  
43353,1990,FEB,4,31.8,22.5,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,115,1,185,  , , ,   , , ,   ,  
43353,1990,FEB,5,31,21.8,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,300, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,6,31.9,21.4,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,440, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,7,32,22.5,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,320, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,8,34,23,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,205, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,9,34.2,24.6,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,255, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,10,35.7,24.7,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,200, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,11,34.3,25.2,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,255, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,12,35.3,24.8,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,375, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,13,33,24.9,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,75,1,185,  , , ,   , , ,   ,  
43353,1990,FEB,14,32.5,24.8,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,50,1,270,  , , ,   , , ,   ,  
43353,1990,FEB,15,32.7,25.7,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,280,0,70,  , , ,   , , ,   ,  
43353,1990,FEB,16,32.9,25.8,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,90,1,180,  , , ,   , , ,   ,  
43353,1990,FEB,17,32,25.4,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,265, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,18,31.8,24.7,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,320, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,19,31.4,24.6,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,200, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,20,31.3,25,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,220, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,21,32,23.5,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,210, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,22,31.7,22.8,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,230, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,23,30.8,21.9,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,210, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,24,30.6,24,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,240, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,25,31.6,22.5,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,240, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,26,31.7,21.7,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,340, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,27,31.5,24.1,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,220, ,   ,  , , ,   , , ,   ,  
43353,1990,FEB,28,31.5,24.5,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,100,1,110,  , , ,   , , ,   ,  
43353,1990,MAR,1,31.6,24.9,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,65,1,175,  , , ,   , , ,   ,  
43353,1990,MAR,2,32.3,24.6,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,80,1,260,  , , ,   , , ,   ,  
43353,1990,MAR,3,32.5,25,4,1.4,   ,1,20,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,1,15,5,65,23,2,3,100,1,3,150,  
43353,1990,MAR,4,31.2,24.8,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,230, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,5,33,23.5,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,160,1,135,  , , ,   , , ,   ,  
43353,1990,MAR,6,32.1,24.3,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,80,1,235,  , , ,   , , ,   ,  
43353,1990,MAR,7,32,25,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,125, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,8,32.6,24.5,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,190, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,9,32.4,25,1,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,195, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,10,32,25.4,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,4,15,5,20,12,1,2,250, , ,   ,  
43353,1990,MAR,11,31.5,24.4,4,1.5,   ,0,35,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,330, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,12,32.2,25.8,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,270,0,320,  , , ,   , , ,   ,  
43353,1990,MAR,13,32.2,25.5,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,150,0,255,  , , ,   , , ,   ,  
43353,1990,MAR,14,32.5,26.5,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,240, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,15,33.1,25,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,30,1,205,  , , ,   , , ,   ,  
43353,1990,MAR,16,32.2,25.8,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,250,0,165,  , , ,   , , ,   ,  
43353,1990,MAR,17,32.4,25,4,0.5,   ,2,15,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,1,135,6,135,12,1,2,315,0,2,80,  
43353,1990,MAR,18,33.2,25.6,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,250, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,19,32.6,25,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,330, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,20,33.2,26.5,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,1,280,0,610,  , , ,   , , ,   ,  
43353,1990,MAR,21,33.4,27,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,8,70,6,20,13,1,3,180,0,8,35,  
43353,1990,MAR,22,33,26.6,3,0,   ,0,20,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,8,125,6,30,17,1,7,115,0,3,160,  
43353,1990,MAR,23,32.6,25,4,0,   ,0,30,   ,  , ,   , ,    ,  ,0,0,0,0,0,1,0,0,0,9,1,80,1,200,1,0,1,310, , ,   ,  
43353,1990,MAR,24,33,26.4,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,320,0,355,  , , ,   , , ,   ,  
43353,1990,MAR,25,32.6,25.8,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,60,1,175,  , , ,   , , ,   ,  
43353,1990,MAR,26,32.5,25.3,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,260, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,27,32.5,25,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,180, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,28,33.1,25.5,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,195, ,   ,  , , ,   , , ,   ,  
43353,1990,MAR,29,32.4,25.8,4,1.6,   ,0,35,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,1,205,6,35,13,1,3,125,0,1,330,  
43353,1990,MAR,30,32.4,25.5,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,300,0,50,  , , ,   , , ,   ,  
43353,1990,MAR,31,33.3,26.3,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,215, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,1,33.4,27.5,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,180, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,2,33.4,27.1,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,205, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,3,33.4,27.3,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,285,0,200,  , , ,   , , ,   ,  
43353,1990,APR,4,33,28,6,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,130, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,5,32.8,26,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,2,60,1,65,8,0,8,80, , ,   ,  
43353,1990,APR,6,33,27.1,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,1,0,0,0,9,2,35,1,175,1,0,1,140, , ,   ,  
43353,1990,APR,7,33.8,26.2,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,80,1,115,2,0,2,180, , ,   ,  
43353,1990,APR,8,34,28.2,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,152,0,360,  , , ,   , , ,   ,  
43353,1990,APR,9,34.5,26.5,6,2.4,   ,2,0,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,1,55,5,65,13,1,3,170, , ,   ,  
43353,1990,APR,10,32.7,28.1,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,120,0,285,  , , ,   , , ,   ,  
43353,1990,APR,11,33.5,27,3,1.6,   ,0,35,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,3,50,5,35,2,0,2,380, , ,   ,  
43353,1990,APR,12,32.4,26.2,4,0.4,   ,0,50,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,200, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,13,32.1,27.2,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,320, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,14,33.2,26.6,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,240, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,15,33.2,27.6,7,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,0,0,0,5,3,10,1,   ,  , , ,   , , ,   ,  
43353,1990,APR,16,32.9,27.8,5,0,   ,0,10,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,0,0,0,5,3,50,1,160,1,0,1,380, , ,   ,  
43353,1990,APR,17,32.3,23.2,7,2.4,   ,1,25,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,2,15,5,30,13,1,3,290,0,1,130,  
43353,1990,APR,18,32.6,27.3,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,190, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,19,32.8,27.5,7,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,200, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,20,33,27.7,7,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,1,0,0,0,9,8,125,1,250,7,0,7,65, , ,   ,  
43353,1990,APR,21,32.9,21.5,7,40.5,   ,3,25,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,1,340,6,50,14,1,4,115,0,1,95,  
43353,1990,APR,22,32.5,26.5,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,90, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,23,32.6,27,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,95, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,24,32.8,26.5,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,3,165, ,   ,  , , ,   , , ,   ,  
43353,1990,APR,25,32.5,27.6,3,0,   ,0,55,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,0,0,0,5,1,55,1,185,  , , ,   , , ,   ,  
43353,1990,APR,26,32.6,27.5,4,0,   ,1,25,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,0,0,0,5,2,85,1,245,2,0,2,70, , ,   ,  
43353,1990,APR,27,33.4,27,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,1,0,0,0,0,0,0,0,5,8,10,1,120,7,0,7,190, , ,   ,  
43353,1990,APR,28,33.5,27.2,6,0,   ,0,10,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,8,60,6,40,12,1,2,250,0,7,250,  
43353,1990,APR,29,33.7,26,4,5.7,   ,0,40,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,6,143,6,115,14,1,4,65,0,1,435,  
43353,1990,APR,30,33.2,24.9,3,3.8,   ,1,55,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,6,17,0,595,  , , ,   , , ,   ,  
43353,1990,MAY,1,32.8,25,6,0.5,   ,0,7,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,8,120,6,110,13,1,3,230,0,1,275,  
43353,1990,MAY,2,33.3,25.2,3,5.4,   ,2,30,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,1,205,6,5,51,5,1,30,0,2,110,  
43353,1990,MAY,3,32.9,25.5,4,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,0,7,160, ,   ,  , , ,   , , ,   ,  
43353,1990,MAY,4,32.9,26,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,240,0,170,  , , ,   , , ,   ,  
43353,1990,MAY,5,32.9,25.5,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,7,215,6,70,7,0,7,100, , ,   ,  
43353,1990,MAY,6,33,23.2,4,5.6,   ,1,33,   ,  , ,   , ,    ,  ,1,0,0,0,0,1,0,0,0,9,1,240,6,23,2,0,2,540, , ,   ,  
43353,1990,MAY,7,33,24.5,5,18.2,   ,4,35,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,1,312,6,415,52,5,2,35,1,2,270,  
43353,1990,MAY,8,31.5,24.6,4,16.6,   ,6,15,   ,  , ,   , ,    ,  ,0,1,0,0,0,1,0,0,0,9,1,535,5,10,13,1,3,120,0,2,120,  
43353,1990,MAY,9,30.5,26,4,8.4,   ,0,43,   ,  , ,   , ,    ,  ,1,0,0,0,0,0,0,0,0,6,2,88,4,15,23,2,3,15,1,3,105,  
43353,1990,MAY,10,32.5,24.8,5,3.8,   ,2,37,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,3,235,6,115,51,5,1,137,1,4,130,  
43353,1990,MAY,11,32,26,2,7.8,   ,1,20,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,2,10,5,25,12,1,2,290,0,1,165,  
43353,1990,MAY,12,33,28.4,5,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,1,0,0,0,1,0,0,0,9,4,185,5,15,13,1,3,185,0,1,285,  
43353,1990,MAY,13,31.4,26,1,0,   ,0,45,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,140,1,80,  , , ,   , , ,   ,  
43353,1990,MAY,14,32.8,26.2,2,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,0,7,180, ,   ,  , , ,   , , ,   ,  
43353,1990,MAY,15,32.1,26.4,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,1,2,240, ,   ,  , , ,   , , ,   ,  
43353,1990,MAY,16,32.5,25.4,3,0,   ,  ,  ,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0,2,3,70,1,160,  , , ,   , , ,   ,  
43353,1990,MAY,17,32.8,25.6,4,5.4,   ,1,40,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,2,658,6,450,52,5,2,183,1,2,82,  
43353,1990,MAY,18,28.4,23.8,1,146.1,   ,2,10,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,1,360,5,70,62,6,2,255, , ,   ,  
43353,1990,MAY,19,30.6,24.7,3,4.2,   ,3,39,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,2,25,5,216,14,1,4,80, , ,   ,  
43353,1990,MAY,20,30.5,24.2,2,8.7,   ,5,7,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,2,386,5,614,  , , ,   , , ,   ,  
43353,1990,MAY,21,27.6,23.5,1,33,   ,15,25,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,3,120,5,25,  , , ,   , , ,   ,  
43353,1990,MAY,22,30.5,25,1,10.4,   ,7,25,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,4,200,6,340,51,5,1,888, , ,   ,  
43353,1990,MAY,23,28.4,25,0,20.8,   ,15,15,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,1,405,6,258,51,5,1,40,1,3,145,  
43353,1990,MAY,24,31.9,23.4,3,56.1,   ,10,23,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,1,110,6,421,51,5,1,741, , ,   ,  
43353,1990,MAY,25,28.5,23.5,1,19.5,   ,16,10,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,8,45,6,80,51,5,1,428, , ,   ,  
43353,1990,MAY,26,28.6,23,1,70.5,   ,12,50,   ,  , ,   , ,    ,  ,1,1,0,0,0,1,0,0,0,9,1,350,6,888,55,5,5,127,2,6,115,  
43353,1990,MAY,27,26.4,23.8,0,28.3,   ,9,42,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,2,34,5,168,23,2,3,110,1,4,40,  
43353,1990,MAY,28,31.2,25.2,1,6.3,   ,4,7,   ,  , ,   , ,    ,  ,1,1,0,0,0,0,0,0,0,6,3,39,5,270,13,1,3,115,0,2,180,  
