INDEX,YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW,VV,Cl,A,Cm,A,Ch,A,Dl,Dm,Dh,TC,h,c,a,Ht,RF,EVP,DW,P,H,WAT,,
43353,1991,JAN,0,12,1011.2,1011.9,25.4,23.6,22.7,85,27.6,99,5,  ,96,8,3,3,2,0,0,8,9,0,5,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,JAN,0,13,1010.6,1011.3,24.4,23,22.3,88,26.9,99,5,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,JAN,0,14,1010.7,1011.4,24.4,23.6,23.2,93,28.4,0,0,  ,96,5,1,0,0,1,3,9,0,9,4,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,15,1010.3,1011,23.6,22.8,22.4,93,27.1,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,JAN,0,16,1010.7,1011.4,22.8,22,21.6,93,25.8,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,JAN,0,17,1009.9,1010.6,24.4,22.4,21.4,83,25.5,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,JAN,0,18,1011.4,1012.1,25.6,23.8,22.9,85,27.9,0,0,  ,96,5,1,3,3,8,2,9,9,9,6,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,19,1009.5,1010.2,25.6,22.2,20.4,73,24,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,JAN,0,20,1010.3,1011,25,23.2,22.3,85,26.9,0,0,  ,96,5,1,0,0,1,3,9,0,9,4,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,21,1011,1011.7,26,24.8,24.3,90,30.4,0,0,  ,96,8,2,0,0,1,2,6,0,9,4,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,22,1010.9,1011.6,24,23,22.5,91,27.3,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,JAN,0,23,1010.6,1011.3,24,23,22.5,91,27.3,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,24,1010.5,1011.2,24.2,23,22.4,90,27.1,0,0,  ,96,8,2,0,0,1,3,9,0,9,5,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,JAN,0,25,1010.4,1011.1,24.2,23.4,23,93,28.1,0,0,  ,96,5,2,0,0,1,2,5,0,9,4,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,JAN,0,26,1011.8,1012.5,22.6,21,20.1,86,23.5,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,JAN,0,27,1012.5,1013.2,21.6,19,17.4,77,19.9,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,JAN,0,28,1012,1012.7,21.6,20,19.1,86,22.1,99,5,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,JAN,0,29,1009.7,1010.4,22.4,21.4,20.9,91,24.7,0,0,  ,96,0,0,3,1,1,1,0,9,9,2,9,3,931,3,1,59,,   ,  , , ,   
43353,1991,JAN,0,30,1008.9,1009.6,24.2,23.2,22.7,91,27.6,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,JAN,0,31,1010.1,1010.8,23.8,22.4,21.7,88,25.9,0,0,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,1,1010.1,1010.8,23.4,21.6,20.6,84,24.3,0,0,  ,96,0,0,3,3,0,0,0,9,0,3,9,3,933,3,3,59,,   ,  , , ,   
43353,1991,FEB,0,2,1010.7,1011.4,25.4,23.6,22.7,85,27.6,0,0,  ,96,8,3,3,2,0,0,3,9,0,5,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,FEB,0,3,1010.4,1011.1,25.2,24.2,23.7,91,29.3,99,4,  ,96,8,3,0,0,0,0,7,0,0,3,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,FEB,0,4,1010.6,1011.3,23.8,22.2,21.4,86,25.5,99,4,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,5,1011,1011.7,25.2,23.2,22.2,84,26.7,0,0,  ,96,0,0,3,5,0,0,0,9,0,5,9,3,935,3,5,59,,   ,  , , ,   
43353,1991,FEB,0,6,1011.6,1012.3,24.2,23.4,23,93,28.1,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,FEB,0,7,1011,1011.7,24.2,23.2,22.7,91,27.6,99,5,  ,96,8,3,3,1,0,0,3,9,0,4,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,FEB,0,8,1009.9,1010.6,23.6,22.4,21.8,90,26.1,99,4,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,9,1011.4,1012.1,23,22.2,21.8,93,26.1,0,0,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,10,1012,1012.7,23,22,21.5,91,25.6,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,FEB,0,11,1011.1,1011.8,24.2,22.8,22.1,88,26.6,99,5,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,FEB,0,12,1010.7,1011.4,24,22,21,83,24.9,99,4,  ,96,8,3,0,0,0,0,9,0,0,3,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,FEB,0,13,1010.2,1010.9,25,23.8,23.2,90,28.4,0,0,  ,96,8,3,0,0,0,0,3,0,0,3,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,FEB,0,14,1011.6,1012.3,24.8,23.6,23,90,28.1,0,0,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,FEB,0,15,1010.7,1011.4,23,21.8,21.2,89,25.2,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,FEB,0,16,1011.3,1012,22.2,21.4,21,93,24.9,0,0,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,17,1011.4,1012.1,23.4,22.2,21.6,90,25.8,0,0,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,18,1010.5,1011.2,23.8,22.6,22,90,26.4,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,FEB,0,19,1011.2,1011.9,24,23,22.5,91,27.3,0,0,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,20,1009.9,1010.6,23.2,22.4,22,93,26.4,0,0,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,21,1011.3,1012,23.4,22.8,22.5,95,27.3,0,0,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,22,1012.9,1013.6,23.8,21.6,20.4,81,24,0,0,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,23,1012.5,1013.2,24.4,22.8,22,87,26.4,0,0,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99,,   ,  , , ,   
43353,1991,FEB,0,24,1012.5,1013.2,25.4,24.4,23.9,92,29.7,0,0,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,25,1012.4,1013.1,25.6,24.8,24.4,93,30.5,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,26,1011.6,1012.3,26,24.6,24,88,29.8,0,0,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,FEB,0,27,1011.3,1012,26,24,23.1,84,28.3,99,5,  ,96,8,3,3,2,0,0,3,9,0,5,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,FEB,0,28,1010.5,1011.2,26,24,23.1,84,28.3,0,0,  ,96,5,2,0,0,0,0,6,0,0,2,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,MAR,0,1,1009.8,1010.5,25.8,23.8,22.9,84,27.9,0,0,  ,96,8,4,0,0,0,0,7,0,0,4,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAR,0,2,1010.5,1011.2,24.6,23,22.2,87,26.7,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,MAR,0,3,1010.9,1011.6,25,24.8,24.7,98,31.1,0,0,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAR,0,4,1011.3,1012,25,24.6,24.4,96,30.5,0,0,  ,96,8,2,3,2,0,0,9,9,0,4,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,5,1011,1011.7,25.8,24,23.2,85,28.4,0,0,  ,96,0,0,3,1,1,1,0,9,9,2,9,3,931,3,1,59,,   ,  , , ,   
43353,1991,MAR,0,6,1009.9,1010.6,26,25.2,24.9,93,31.5,0,0,  ,96,3,4,3,2,8,1,6,9,9,7,4,9,492,9,2,25,,   ,  , , ,   
43353,1991,MAR,0,7,1009.6,1010.3,26.2,25.8,25.6,97,32.8,0,0,  ,96,8,4,3,2,0,0,7,9,0,6,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAR,0,8,1010.1,1010.8,25.6,24.4,23.9,90,29.7,99,5,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAR,0,9,1008.5,1009.2,25.6,24.6,24.1,92,30,0,0,  ,96,0,0,0,0,1,2,0,0,9,2,9,0,902,0,2,75,,   ,  , , ,   
43353,1991,MAR,0,10,1009.5,1010.2,26,24.6,24,88,29.8,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,11,1009.3,1010,25.4,24,23.3,88,28.6,0,0,  ,96,8,3,0,0,0,0,7,0,0,3,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAR,0,12,1008.8,1009.5,26,24.8,24.3,90,30.4,0,0,  ,96,8,4,0,0,0,0,7,0,0,4,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAR,0,13,1008.8,1009.5,26.8,25.4,24.8,89,31.3,0,0,  ,96,8,2,0,0,0,0,7,0,0,2,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,14,1008.8,1009.5,27.6,25.2,24.1,81,30,0,0,  ,96,8,4,0,0,0,0,7,0,0,4,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAR,0,15,1008.9,1009.6,26.8,25.2,24.5,87,30.7,99,4,  ,96,8,4,0,0,0,0,7,0,0,4,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAR,0,16,1009.4,1010.1,25.8,25,24.6,93,30.9,0,0,  ,96,8,3,0,0,0,0,7,0,0,3,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAR,0,17,1010.8,1011.5,26.8,25,24.2,86,30.2,0,0,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,18,1010.8,1011.5,26.4,25,24.4,89,30.5,99,5,  ,96,1,1,0,0,1,2,9,0,9,3,5,8,582,8,2,20,,   ,  , , ,   
43353,1991,MAR,0,19,1010.6,1011.3,26.6,25,24.3,87,30.4,0,0,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99,,   ,  , , ,   
43353,1991,MAR,0,20,1009.1,1009.8,25.6,24,23.3,87,28.6,99,4,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,21,1008.6,1009.3,26,24.6,24,88,29.8,0,0,  ,96,0,0,0,0,1,3,0,0,9,3,9,0,903,0,3,75,,   ,  , , ,   
43353,1991,MAR,0,22,1007.6,1008.3,27.8,25.6,24.6,83,30.9,0,0,  ,96,8,4,0,0,0,0,7,0,0,4,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAR,0,23,1006.5,1007.2,26.8,25,24.2,86,30.2,0,0,  ,96,0,0,0,0,0,0,0,0,0,0,9,0,900,0,0,99,,   ,  , , ,   
43353,1991,MAR,0,24,1006.2,1006.9,27,25.6,25,89,31.7,99,4,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,25,1005.7,1006.4,27,25.2,24.4,86,30.5,0,0,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,26,1004.9,1005.6,27,25.4,24.7,87,31.1,0,0,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAR,0,27,1005.2,1005.9,28.2,26.2,25.4,85,32.4,0,0,  ,96,3,5,0,0,0,0,6,0,0,5,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,MAR,0,28,1007.1,1007.8,24.8,24.4,24.2,96,30.2,0,0,  ,96,8,2,3,1,0,0,9,9,0,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAR,0,29,1008.6,1009.3,26.4,25,24.4,89,30.5,0,0,  ,96,8,4,0,0,1,2,8,0,9,6,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAR,0,30,1008.4,1009.1,27.8,26.4,25.8,89,33.2,9,10,  ,96,3,3,0,0,1,2,9,0,9,5,5,9,591,9,1,25,,   ,  , , ,   
43353,1991,MAR,0,31,1007.8,1008.5,27.6,26.6,26.2,92,34,0,0,  ,96,8,4,2,3,0,0,3,9,0,7,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,APR,0,1,1008.3,1009,24.4,23.6,23.2,93,28.4,0,0,  ,96,8,3,3,2,0,0,9,9,0,5,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,APR,0,2,1010.1,1010.8,26,24.8,24.3,90,30.4,0,0,  ,96,3,4,0,0,0,0,2,0,0,4,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,APR,0,3,1010.2,1010.9,25.6,24,23.3,87,28.6,0,0,  ,96,8,3,3,2,1,1,7,9,9,6,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,APR,0,4,1010.1,1010.8,26,25.2,24.9,93,31.5,0,0,  ,96,3,4,3,2,0,0,5,9,0,6,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,APR,0,5,1009.7,1010.4,26,24.8,24.3,90,30.4,0,0,  ,96,3,3,3,2,2,1,3,9,9,6,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,APR,0,6,1009.9,1010.6,25,23.6,22.9,88,27.9,0,0,  ,96,5,1,3,2,0,0,9,9,0,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,APR,0,7,1009.9,1010.6,26,23.8,22.8,82,27.7,0,0,  ,96,8,3,3,1,1,1,2,9,9,5,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,APR,0,8,1008.9,1009.6,24,23.4,23.1,95,28.3,0,0,  ,96,3,3,0,0,1,1,9,0,9,4,5,9,592,9,2,25,,   ,  , , ,   
43353,1991,APR,0,9,1008.2,1008.9,24.6,23,22.2,87,26.7,0,0,  ,96,8,2,0,0,0,0,9,0,0,2,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,APR,0,10,1007.2,1007.6,24.6,23.2,22.5,88,27.3,0,0,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,APR,0,11,1007.1,1007.8,26.6,25.4,24.9,90,31.5,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,APR,0,12,1005.1,1005.8,27.4,26.4,26,92,33.6,0,0,  ,96,8,4,0,0,1,1,3,0,9,5,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,APR,0,13,1006.2,1006.9,25.8,24.4,23.8,88,29.5,0,0,  ,96,8,3,0,0,8,3,3,0,9,6,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,APR,0,14,1007.6,1008.3,25.2,23.2,22.2,84,26.7,0,0,  ,96,0,0,3,1,1,3,0,9,9,4,9,3,931,3,1,59,,   ,  , , ,   
43353,1991,APR,0,15,1007.9,1008.6,25,24.2,23.8,93,29.5,0,0,  ,96,5,1,0,0,1,3,9,0,9,4,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,APR,0,16,1007,1007.7,26.8,25.4,24.8,89,31.3,99,5,  ,96,5,1,0,0,0,0,9,0,0,1,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,APR,0,17,1006.8,1007.5,28,26.8,26.3,91,34.2,0,0,  ,96,5,2,0,0,1,2,1,0,9,4,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,APR,0,18,1007.2,1007.9,28,26.4,25.7,87,33,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,APR,0,19,1007.3,1008,27.8,26.8,26.4,92,34.4,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,APR,0,20,1008.4,1009.1,26,24.8,24.3,90,30.4,0,0,  ,96,5,1,0,0,1,3,9,0,9,4,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,APR,0,21,1008.3,1009,26.2,25.2,24.8,92,31.3,99,4,  ,96,8,3,0,0,1,2,7,0,9,5,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,APR,0,22,1009.4,1010.1,26.4,24.6,23.8,86,29.5,99,5,  ,96,3,5,0,0,8,2,7,0,9,7,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,APR,0,23,1008.4,1009.1,26.2,25.2,24.8,92,31.3,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,APR,0,24,1008.4,1009.1,24,23.2,22.8,93,27.7,0,0,  ,96,8,2,3,2,1,1,9,9,9,5,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,APR,0,25,1007.8,1008.5,26.4,25.2,24.7,90,31.1,0,0,  ,96,8,3,0,0,0,0,7,0,0,3,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,APR,0,26,1006.3,1007,27,25.6,25,89,31.7,0,0,  ,96,8,3,0,0,1,1,7,0,9,4,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,APR,0,27,1005.3,1006,24,23.2,22.8,93,27.7,99,5,  ,96,3,4,2,3,0,0,7,9,0,7,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,APR,0,28,1005.8,1006.5,26.8,25.8,25.4,92,32.4,99,4,  ,96,8,2,0,0,8,2,9,0,9,4,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,APR,0,29,1006.8,1007.5,26.4,25.6,25.3,93,32.2,99,5,  ,96,3,5,0,0,8,2,7,0,9,7,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,APR,0,30,1008.1,1008.8,25.8,25.2,24.9,95,31.5,0,0,  ,96,8,3,0,0,1,3,7,0,9,6,4,6,462,6,2,18,,   ,  , , ,   
43353,1991,MAY,0,1,1008.2,1008.9,27.6,24.6,23.2,77,28.4,0,0,  ,96,8,2,3,3,0,0,9,9,0,5,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAY,0,2,1007.1,1007.8,26.6,25,24.3,87,30.4,99,4,  ,96,5,1,0,0,1,2,9,0,9,3,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAY,0,3,1007.4,1008.1,27.2,25.8,25.2,89,32.1,0,0,  ,96,3,3,3,2,0,0,6,9,0,5,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,MAY,0,4,1008.3,1009,27.6,26.4,25.9,90,33.4,0,0,  ,96,8,3,0,0,1,2,7,0,9,5,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,5,1009,1009.7,25.6,24.8,24.4,93,30.5,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAY,0,6,1008.8,1009.5,26,25,24.6,92,30.9,0,0,  ,96,8,2,0,0,1,2,9,0,9,4,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAY,0,7,1008.4,1009.1,27,26.2,25.9,93,33.4,0,0,  ,96,8,2,0,0,1,2,7,0,9,4,4,6,461,6,1,18,,   ,  , , ,   
43353,1991,MAY,0,8,1009.7,1010.4,27.2,26.6,26.4,95,34.4,0,0,  ,96,8,3,0,0,0,0,6,0,0,3,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,9,1008.4,1009.1,28.2,26.8,26.2,89,34,0,0,  ,96,8,4,3,2,0,0,7,9,0,6,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAY,0,10,1008.4,1009.1,27.4,26.4,26,92,33.6,0,0,  ,96,8,3,0,0,1,1,7,0,9,4,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,11,1008.2,1008.9,27.4,26.6,26.3,94,34.2,0,0,  ,96,5,3,3,2,0,0,7,9,0,5,4,6,463,6,3,14,,   ,  , , ,   
43353,1991,MAY,0,12,1007.6,1008.3,26.6,25.4,24.9,90,31.5,0,0,  ,96,8,3,3,1,0,0,7,9,0,4,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,13,1007.7,1008.4,26,24.6,24,88,29.8,0,0,  ,96,3,3,3,1,8,3,7,9,9,7,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,MAY,0,14,1007.1,1007.8,27.2,25.8,25.2,89,32.1,0,0,  ,96,8,2,0,0,1,1,9,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAY,0,15,1007,1007.7,26.8,25.6,25.1,90,31.9,0,0,  ,96,5,2,0,0,8,4,7,0,9,6,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,16,1007.1,1007.8,27,25,24.1,84,30,0,0,  ,96,8,3,3,2,1,1,7,9,9,6,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,17,1008.7,1009.4,27.4,25.8,25.1,87,31.9,14,13,  ,96,3,4,0,0,8,2,6,0,9,6,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,MAY,0,18,1008.7,1009.4,25.8,24.6,24.1,90,30,99,5,  ,96,8,3,0,0,1,1,7,0,9,4,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,19,1006.1,1006.8,29.8,26.8,25.6,78,32.8,0,0,  ,96,8,4,0,0,1,2,7,0,9,6,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAY,0,20,1007.1,1007.8,27.6,26,25.3,87,32.2,0,0,  ,96,8,2,0,0,1,3,9,0,9,5,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAY,0,21,1008,1008.7,24.8,24,23.6,93,29.1,0,0,  ,96,8,3,0,0,1,2,7,0,9,5,4,6,462,6,2,16,,   ,  , , ,   
43353,1991,MAY,0,22,1008.3,1009,27.8,26.8,26.4,92,34.4,99,4,  ,96,3,4,0,0,1,2,7,0,9,6,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,MAY,0,23,1006.2,1006.9,27,25.8,25.3,90,32.2,0,0,  ,96,8,2,0,0,1,1,7,0,9,3,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAY,0,24,1005.2,1005.9,25.2,24,23.4,90,28.8,9,10,  ,96,3,4,0,0,8,1,7,0,9,5,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,MAY,0,25,1006.3,1007,27.4,26.4,26,92,33.6,0,0,  ,96,9,4,3,1,8,1,7,9,9,6,4,9,491,9,1,25,,   ,  , , ,   
43353,1991,MAY,0,26,1005,1005.7,27,26,25.6,92,32.8,0,0,  ,96,8,2,0,0,1,2,9,0,9,4,4,6,461,6,1,16,,   ,  , , ,   
43353,1991,MAY,0,27,1005,1005.7,24.8,24,23.6,93,29.1,99,5,  ,96,3,4,2,3,0,0,2,9,0,7,4,9,492,9,2,25,,   ,  , , ,   
43353,1991,MAY,0,28,1003.1,1003.8,27,26.4,26.2,95,34,0,0,  ,96,8,4,0,0,1,2,7,0,9,6,4,6,463,6,3,16,,   ,  , , ,   
43353,1991,MAY,0,29,1003.4,1004.1,27.4,25.8,25.1,87,31.9,0,0,  ,96,3,4,3,2,0,0,6,9,0,6,4,9,491,9,1,25,,   ,  , , ,   
